ID,techName,name,type,responsible,masterLanguage,masterSystem,description,version,changedAt,changedBy,createdAt,createdBy,parent_ID
f5eeec04-fa18-46ab-8d12-1807e4fb469a,ZTH1908B,ZTH1908B,DEVC/K,,,,,active,,,,,60bfbc80-df65-4fbe-8edf-1a805c16d05a
0834d8b4-5871-412e-b170-c339fa8b149b,ZACT_NO,ZACT_NO,DEVC/K,,,,,active,,,,,2c47dd81-597a-4668-8e28-a496c9853e9a
8d7241c8-4dc8-474e-8518-5a03d6315bd6,ZCK_CDS_RATES,ZCK_CDS_RATES,DEVC/K,,,,,active,,,,,35f324bd-6bc6-4cca-860f-b657f6ff5d60
92c93636-3b77-4fea-b9ec-f2dea36d824a,ZCSM_ACTIVITY_LOCATION,ZCSM_ACTIVITY_LOCATION,DEVC/K,,,,,active,,,,,ad4a8b42-b09e-4b29-af51-8680cb0aacdb
ee215f54-7906-4556-9441-167a25694cd4,ZTH1908C,ZTH1908C,DEVC/K,,,,,active,,,,,60bfbc80-df65-4fbe-8edf-1a805c16d05a
54d2f1fa-c404-4ded-b0ac-80b71015476b,ZCOUNTRY,ZCOUNTRY,DEVC/K,,,,,active,,,,,2c47dd81-597a-4668-8e28-a496c9853e9a
59857d32-ee23-4016-8756-97f11033acdc,ZCK_RESULT,ZCK_RESULT,DEVC/K,,,,,active,,,,,35f324bd-6bc6-4cca-860f-b657f6ff5d60
0833b334-0453-46cb-bff7-42e40af54897,ZCSM_BP_ASSIGNMENT_TYPE,ZCSM_BP_ASSIGNMENT_TYPE,DEVC/K,,,,,active,,,,,ad4a8b42-b09e-4b29-af51-8680cb0aacdb
bab31a4c-9b38-43bb-a2af-0525dd9478b0,ZTH2008A,ZTH2008A,DEVC/K,,,,,active,,,,,60bfbc80-df65-4fbe-8edf-1a805c16d05a
b29d623f-17d9-4624-bc77-6b8a44c620b6,ZCK_REQ_LDB_FIELDS,ZCK_REQ_LDB_FIELDS,DEVC/K,,,,,active,,,,,35f324bd-6bc6-4cca-860f-b657f6ff5d60
b1dc8005-a4b6-4202-9ef2-9c702e78d557,ZCSM_DIST_CODE,ZCSM_DIST_CODE,DEVC/K,,,,,active,,,,,ad4a8b42-b09e-4b29-af51-8680cb0aacdb
e12feef1-4062-41ce-8579-a0e138bfc367,ZNETWORK,ZNETWORK,DEVC/K,,,,,active,,,,,2c47dd81-597a-4668-8e28-a496c9853e9a
d0794343-c2b4-4740-b0de-02d24e7ae7c7,ZTH2108A,ZTH2108A,DEVC/K,,,,,active,,,,,60bfbc80-df65-4fbe-8edf-1a805c16d05a
0dc8028a-50d4-4b99-8e60-5b44d7baf4f0,ZCMW,ZCMW,DEVC/K,KABUTH,DE,IPM,Category Management Workbench in IDES,active,,,,,d7b3bd60-8e0c-4f70-9dd7-3c33413140fa
058362a9-de6a-4af7-97a5-f4fa69071236,==============================CP,ZCE_CL_OCCUPANCY_STD,DEVC/K,,,,,active,,,,,ad4a8b42-b09e-4b29-af51-8680cb0aacdb
3bd4c1b9-931f-43c1-8a7c-38f1d623fe2c,ZCK_READ_LDB,ZCK_READ_LDB,DEVC/K,,,,,active,,,,,35f324bd-6bc6-4cca-860f-b657f6ff5d60
aa73cd82-2647-4b0d-9609-d74987d1df89,ZSO,ZSO,DEVC/K,,,,,active,,,,,2c47dd81-597a-4668-8e28-a496c9853e9a
b86772e7-8353-4156-9aef-29a6f3d859e4,ZTH2708A,ZTH2708A,DEVC/K,,,,,active,,,,,60bfbc80-df65-4fbe-8edf-1a805c16d05a
ef7d1b3e-5093-4267-b9ca-46ac051892ec,ZMCWCM01,ZMCWCM01,DEVC/K,,,,,active,,,,,0dc8028a-50d4-4b99-8e60-5b44d7baf4f0
5a21d986-320e-4dda-b0c7-b46ce105d5de,==============================CP,ZCL_CE_BP_ACCTASS_DETERMINE,DEVC/K,,,,,active,,,,,ad4a8b42-b09e-4b29-af51-8680cb0aacdb
