ID,LOCKED_BY_EDITOR,PROGRAM_TYPE,SOURCE_OBJECT_STATUS,FIX_POINT_ARITHMETIC,ACTIVE_UNICODE_CHECK,DESCRIPTION_TEXT_LIMIT,SOURCE_CODE,NAME,TYPE,RESPONSIBLE,MASTER_LANGUAGE,MASTER_SYSTEM,DESCRIPTION,VERSION,CHANGED_AT,CHANGED_BY,CREATED_AT,CREATED_BY,PARENT_ID
205ca6f8-dadd-4fd7-9115-5c88e455663e,false,executableProgram,,true,true,,,ZSK_NET,PROG/P,KLOSES,DE,TI4,check network connection to frontendPC (1xPing),active,2016-09-02T20:23:19Z,C5056040,1998-12-17T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
01783db9-1fbd-4da2-b194-09d937456e27,false,executableProgram,,true,true,,,ZSK_PAT01,PROG/P,KLOSES,DE,EC3,pat01 pflegen,active,2016-09-02T20:23:19Z,KLOSES,1998-07-10T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
aefce438-d58c-4817-b426-e63b39163d9c,false,executableProgram,,true,true,,,ZSK_RFCTRUST,PROG/P,KLOSES,DE,EC3,rfctrust putzen,active,2016-09-02T20:23:19Z,KLOSES,1998-10-13T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
025e38b8-3747-4f70-bc6c-bc2997276c91,false,executableProgram,,true,true,,,ZSK_SORT1,PROG/P,KLOSES,DE,EC3,zskusrctl sortieren,active,2016-09-02T20:23:19Z,KLOSES,1998-02-25T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
26eef0a6-d34f-4bc3-90eb-a2cd751b73de,false,executableProgram,,true,true,,,ZSK_T000,PROG/P,KLOSES,DE,EC3,T000 pflegen im ID3,active,2016-09-02T20:23:19Z,KLOSES,1998-03-25T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
c3824d2b-2b62-492b-8930-0690a8482daf,false,executableProgram,,true,true,,,ZSK_T000_SPERREN,PROG/P,KLOSES,DE,EC3,T000 pflegen im ID3,active,2016-09-02T20:23:20Z,KLOSES,1998-12-18T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
ad32ed46-c157-4de7-b6d4-8bad463b3485,false,executableProgram,,true,true,,,ZSK_T093T,PROG/P,KLOSES,DE,EC3,T093T,active,2016-09-02T20:23:20Z,KLOSES,1998-06-19T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
9a043b64-a3ba-4d09-abe6-b0f577e4d2a8,false,executableProgram,,true,true,,,ZSK_TOJTB,PROG/P,KLOSES,DE,EC3,tojtb,active,2016-09-02T20:23:20Z,KLOSES,1998-05-29T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
96691710-75a6-4242-a18b-7dd9ab949451,false,executableProgram,,true,true,,,ZSRTADIR,PROG/P,KLOSES,DE,EC3,Tadir pflege nach kopie,active,2016-09-02T20:23:22Z,KLOSES,1997-02-02T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
c944dc34-0ab6-4797-85e4-5ce94f322350,true,executableProgram,,true,true,,,ZEQUIDEL,PROG/P,DEVENTER,DE,EC3,Delete Serial Numbers,active,2016-09-02T20:18:08Z,DEVENTER,1999-01-19T00:00:00Z,,98976101-cfa8-4c10-82bd-1605e1a00518
