TECH_NAME,NAME,TYPE,RESPONSIBLE,MASTER_LANGUAGE,LANGUAGE,MASTER_SYSTEM,DESCRIPTION,VERSION,CHANGED_AT,CHANGED_BY,CREATED_AT,CREATED_BY,LOCKED_BY_EDITOR,PROGRAM_TYPE,SOURCE_OBJECT_STATUS,FIX_POINT_ARITHMETIC,ACTIVE_UNICODE_CHECK,PARENT
ZAH_ZAH_DANGER_FILL,ZAH_ZAH_DANGER_FILL,PROG/P,HERRMANNSPAH,DE,DE,EC3,Füllen der Gefahrstofftabelle incl. Texttabelle,active,2016-09-02T20:16:23Z,HERRMANNSPAH,2001-12-28T00:00:00Z,,false,executableProgram,,true,true,Root
ZAH_ZCARGO_FILL,ZAH_ZCARGO_FILL,PROG/P,HERRMANNSPAH,DE,EN,EC3,Program ZCARGO_FILL,active,2016-09-02T20:16:24Z,HERRMANNSPAH,2001-12-28T00:00:00Z,,false,executableProgram,,true,true,Root
ZAH_ZCARGO_READ,ZAH_ZCARGO_READ,PROG/P,HERRMANNSPAH,DE,DE,EC3,Programm ZAH_READ_ZCARGO,active,2016-09-02T20:16:24Z,HERRMANNSPAH,2001-12-28T00:00:00Z,,false,executableProgram,,true,true,Root
ZAH_ZCARGO_UPDATE,ZAH_ZCARGO_UPDATE,PROG/P,HERRMANNSPAH,DE,EN,EC3,Update of ZCARGO_UPDATE after demo of chapter 6,active,2016-09-02T20:16:24Z,HERRMANNSPAH,2001-12-28T00:00:00Z,,false,executableProgram,,true,true,Root
ZAH_ANFANG,ZAH_ANFANG,PROG/P,HERRMANNSPAH,DE,DE,EC3,BC460: Druckprogramm mit Eingabemöglichkeit f. Versandart + Text,active,2016-09-02T20:16:15Z,HERRMANNSPAH,2000-11-13T00:00:00Z,,false,executableProgram,,true,true,Root
ZAH_BC460_INTRO,ZAH_BC460_INTRO,PROG/P,HERRMANNSPAH,DE,DE,EC3,BC460: Eingangsformular,active,2016-09-02T20:16:15Z,HERRMANNSPAH,2001-10-29T00:00:00Z,,false,executableProgram,,true,true,Root
ZAH_DRUCK_CONTROL_FORM,ZAH_DRUCK_CONTROL_FORM,PROG/P,HERRMANNSPAH,DE,DE,EC3,BC460: vollständiges Druckprogramm,active,2016-09-02T20:16:17Z,HERRMANNSPAH,2000-11-13T00:00:00Z,,false,executableProgram,,true,true,Root
ZAH_DRUCK_DEMO,ZAH_DRUCK_DEMO,PROG/P,HERRMANNSPAH,DE,DE,EC3,BC460: erweiterbares Druckprogramm,active,2016-09-02T20:16:17Z,HERRMANNSPAH,2002-05-17T00:00:00Z,,false,executableProgram,,true,true,Root
ZAH_PERFORM,ZAH_PERFORM,PROG/P,HERRMANNSPAH,DE,DE,EC3,BC460: Containerprogramm für externes perform,active,2016-09-02T20:16:21Z,HERRMANNSPAH,2000-11-13T00:00:00Z,,false,executableProgram,,true,true,Root
ZAH_UE5_LSG,ZAH_UE5_LSG,PROG/P,HERRMANNSPAH,DE,DE,EC3,"BC460: Lösung zu Ue-5 (perform, box, include)",active,2016-09-02T20:16:23Z,HERRMANNSPAH,2000-11-13T00:00:00Z,,false,executableProgram,,true,true,Root
