ID,NAME,TYPE,RESPONSIBLE,MASTER_LANGUAGE,MASTER_SYSTEM,DESCRIPTION,VERSION,CHANGED_AT,CHANGED_BY,CREATED_AT,CREATED_BY,PARENT_ID
51d030d5-14b8-4ab5-b0e8-6077a05639c3,ZT_RAVI_10,SCAT/GT,CATT_USER,DE,TE3,Creating position indicatore,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
5ccb7745-0dae-4e91-bdeb-dcae31e4699c,ZT_RAVI_10A,SCAT/GT,CATT_USER,DE,TE3,Adding company codes in cutomising table,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
f4aafdde-13db-4a78-bb93-858bf895f508,ZT_RAVI_11,SCAT/GT,CATT_USER,EN,TE3,Settings for company codes,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
eb0c1599-a54d-4bd5-9be6-392b60c2e8c4,ZT_RAVI_12,SCAT/GT,CATT_USER,DE,TE3,Settings for product type,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
5e1e768f-3344-4e07-adf8-152f2c4b283d,ZT_RAVI_GBP,SCAT/GT,CATT_USER,DE,TE3,Maintaining house bank accounts in GBP,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
46bc4804-fd68-4248-b66d-e5788cbf0715,ZT_RAVI_JPY,SCAT/GT,CATT_USER,DE,TE3,Maintaining house bank accounts in japanese YEN,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
56619eab-4c0d-4cc7-96f3-756897d0410f,ZT_RAVI_MAINCATT,SCAT/GT,CATT_USER,DE,TE3,CATT for course FSC010,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
20095d5e-2d58-4690-8145-6f9858314e70,ZT_RAVI_SUBCATT,SCAT/GT,CATT_USER,DE,TE3,sample test case,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
34dc7a6e-bce1-461d-acbc-8ec46ae4266a,ZT_RAVI_SUBCATT2,SCAT/GT,RENDES,DE,TE3,sample test case part 2 ECC5.0,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
345b312d-770b-4acb-a264-e50173727b6e,ZT_RAVI_USD,SCAT/GT,CATT_USER,DE,TE3,Maintaining house bank accounts in USD,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
4772bc1d-af3a-4c40-96fa-e9327d94e06c,ZT_RECORDING_OFF,SCAT/GT,RENDES,DE,EC3,dththj,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
9450c8fe-e4cb-4a27-8a92-bedbad879d94,ZT_REGENERATE_REPORTS,SCAT/GT,RENDES,DE,EC3,REGENERATE_REPORTS,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
945ad077-cb10-4511-8341-20006bcad42f,ZT_RFAGL_SWAP_IMG_NEW,SCAT/GT,RENDES,DE,EC3,RFAGL_SWAP_IMG_NEW,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
88d82ab1-b869-4fda-839e-0e54aa491817,ZT_RFAGL_SWAP_MENU_NEW,SCAT/GT,RENDES,DE,EC3,RFAGL_SWAP_MENU_NEW,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
516867b1-566b-4e23-af15-ea0c8900af36,ZT_RFC_DTZ_800,SCAT/GT,BURMANM,DE,E05,Check and deletion of RFC DTZ_800 after LCT,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
4f814fae-f6fc-48aa-a191-0c628a6747cc,ZT_RHALEACU_02,SCAT/GT,RENDES,DE,I19,SE38 RHALEACU 4.7,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
fc89701f-3d61-4a32-bde0-a2a27ffa1e42,ZT_RPCALCD0_01_TEST,SCAT/GT,VERNITSKAJAK,DE,EC3,SE38 RPCALCD0,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
d63ce166-b069-4fbb-8086-77d77f288037,ZT_RPCD3MD0_01_TEST,SCAT/GT,VERNITSKAJAK,DE,EC3,SE38 RPCD3MD0,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
568d73bc-2a26-4f9b-82bd-44a659674f92,ZT_RPCD3TD0_01_TEST,SCAT/GT,VERNITSKAJAK,DE,EC3,SE38 RPCD3TD0,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
6b47cc30-3770-41ef-9abd-6c2942af47ac,ZT_RPCD3VD0_01_TEST,SCAT/GT,VERNITSKAJAK,DE,EC3,SE38 RPCD3VD0,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
