TECH_NAME,NAME,TYPE,RESPONSIBLE,MASTER_LANGUAGE,LANGUAGE,MASTER_SYSTEM,DESCRIPTION,VERSION,CHANGED_AT,CHANGED_BY,CREATED_AT,CREATED_BY
ZHRASR00STEP_ATTRIBUTES_UI_TAB,ZHRASR00STEP_ATTRIBUTES_UI_TAB,TTYP/DA,C5164390,EN,EN,IDT,teset,active,2016-09-02T13:43:18Z,C5164390,2011-12-07T23:00:00Z,
ZHRPM_WD_T_COMP_RTG,ZHRPM_WD_T_COMP_RTG,TTYP/DA,I808496,EN,EN,IDT,PM Analytics Competency Ratings Table,active,2016-09-02T12:18:49Z,I808496,2011-11-09T23:00:00Z,
ZHRPM_WD_T_EMP_DETAILS,ZHRPM_WD_T_EMP_DETAILS,TTYP/DA,I808496,EN,EN,IDT,HR PM Analytics Table for Employee details,active,2016-09-02T12:18:50Z,I808496,2011-11-09T23:00:00Z,
ZINVTAB,ZINVTAB,TTYP/DA,I044319,EN,EN,L53,Invoice table,active,2016-09-02T12:18:50Z,I044319,,
ZMAKTX_TAB,ZMAKTX_TAB,TTYP/DA,I044319,EN,EN,L53,Material Description,active,2016-09-02T13:06:43Z,I044319,,
ZMATSALTAB,ZMATSALTAB,TTYP/DA,I044319,EN,EN,L53,MATERIAL SALES TABLE,active,2016-09-02T12:18:50Z,I044319,,
97100143,97100143,PDTS/MA,MISSIG,EN,EN,DH3,ZLSO_D_RCPT,active,,,,
97100238,97100238,PDWS/MM,MISSIG,EN,EN,DH3,ZLSO_D_MAIL,active,,,,
ZQAM_ISSUE_OVERVIEW,ZQAM_ISSUE_OVERVIEW,SFPF/5F,I302690,EN,EN,EC3,,active,,,2014-08-11T22:00:00Z,
ZCOST_ELEMENTS,ZCOST_ELEMENTS,TABL/DT,C5191063,EN,EN,EC3,Cost Elements,active,2016-09-02T11:38:34Z,C5191063,2014-06-09T22:00:00Z,
ZBUS2075,ZBUS2075,SOBJ/MO,ROMAHN,DE,EN,EC3,ZBUS2075 internal order subtype,active,,,,
90600005,90600005,PDTS/MA,D022163,DE,EN,EC3,CustAppr,active,,,,
90600006,90600006,PDTS/MA,D022163,DE,EN,EC3,CustBAPI,active,,,,
90600007,90600007,PDTS/MA,D022163,DE,EN,EC3,CustAppr_00,active,,,,
98000005,98000005,PDTS/MA,ROMAHN,DE,EN,EC3,IntOrd_Edit,active,,,,
ZBUS2075,ZBUS2075,SOBJ/MO,ROMAHN,DE,EN,EC3,ZBUS2075 internal order subtype,active,,,,
98000006,98000006,PDTS/MA,ROMAHN,DE,EN,EC3,IntOrd_Relea,active,,,,
90600005,90600005,PDTS/MA,D022163,DE,EN,EC3,CustAppr,active,,,,
90600006,90600006,PDWS/MM,D022163,DE,EN,EC3,CustCrea,active,,,,
90600006,90600006,PDTS/MA,D022163,DE,EN,EC3,CustBAPI,active,,,,
90600007,90600007,PDWS/MM,D022163,DE,EN,EC3,CustCrea_00,active,,,,
90600007,90600007,PDTS/MA,D022163,DE,EN,EC3,CustAppr_00,active,,,,
98000005,98000005,PDWS/MM,ROMAHN,DE,EN,EC3,IntOrd_Appro,active,,,,
98000005,98000005,PDTS/MA,ROMAHN,DE,EN,EC3,IntOrd_Edit,active,,,,
98000006,98000006,PDWS/MM,ROMAHN,DE,EN,EC3,Mara_Check,active,,,,
98000006,98000006,PDTS/MA,ROMAHN,DE,EN,EC3,IntOrd_Relea,active,,,,
90600006,90600006,PDWS/MM,D022163,DE,EN,EC3,CustCrea,active,,,,
90600007,90600007,PDWS/MM,D022163,DE,EN,EC3,CustCrea_00,active,,,,
98000005,98000005,PDWS/MM,ROMAHN,DE,EN,EC3,IntOrd_Appro,active,,,,
Y01MARA,Y01MARA,SOBJ/MO,BOLLINGER,EN,EN,EC3,BUS1001_Groupnr_01,active,,,,
98000006,98000006,PDWS/MM,ROMAHN,DE,EN,EC3,Mara_Check,active,,,,
Y02MARA,Y02MARA,SOBJ/MO,BOLLINGER,EN,EN,EC3,BUS1001_Groupnr_02,active,,,,
Y03MARA,Y03MARA,SOBJ/MO,BOLLINGER,EN,EN,EC3,BUS1001_Groupnr_03,active,,,,
Y04MARA,Y04MARA,SOBJ/MO,BOLLINGER,EN,EN,EC3,BUS1001_Groupnr_04,active,,,,
Y05MARA,Y05MARA,SOBJ/MO,BOLLINGER,EN,EN,EC3,BUS1001_Groupnr_05,active,,,,
Y06MARA,Y06MARA,SOBJ/MO,BOLLINGER,EN,EN,EC3,BUS1001_Groupnr_06,active,,,,
Y07MARA,Y07MARA,SOBJ/MO,BOLLINGER,EN,EN,EC3,BUS1001_Groupnr_07,active,,,,
Y08MARA,Y08MARA,SOBJ/MO,BOLLINGER,EN,EN,EC3,BUS1001_Groupnr_08,active,,,,
Y09MARA,Y09MARA,SOBJ/MO,BOLLINGER,EN,EN,EC3,BUS1001_Groupnr_09,active,,,,
Y10MARA,Y10MARA,SOBJ/MO,BOLLINGER,EN,EN,EC3,BUS1001_Groupnr_10,active,,,,
Y11MARA,Y11MARA,SOBJ/MO,BOLLINGER,EN,EN,EC3,BUS1001_Groupnr_11,active,,,,
Y12MARA,Y12MARA,SOBJ/MO,BOLLINGER,EN,EN,EC3,BUS1001_Groupnr_12,active,,,,
Y13MARA,Y13MARA,SOBJ/MO,BOLLINGER,EN,EN,EC3,BUS1001_Groupnr_13,active,,,,
Y14MARA,Y14MARA,SOBJ/MO,BOLLINGER,EN,EN,EC3,BUS1001_Groupnr_14,active,,,,
Y15MARA,Y15MARA,SOBJ/MO,BOLLINGER,EN,EN,EC3,BUS1001_Groupnr_15,active,,,,
Y16MARA,Y16MARA,SOBJ/MO,BOLLINGER,EN,EN,EC3,BUS1001_Groupnr_16,active,,,,
Y17MARA,Y17MARA,SOBJ/MO,BOLLINGER,EN,EN,EC3,BUS1001_Groupnr_17,active,,,,
Y18MARA,Y18MARA,SOBJ/MO,BOLLINGER,EN,EN,EC3,BUS1001_Groupnr_18,active,,,,
Y19MARA,Y19MARA,SOBJ/MO,BOLLINGER,EN,EN,EC3,BUS1001_Groupnr_19,active,,,,
Y20MARA,Y20MARA,SOBJ/MO,BOLLINGER,EN,EN,EC3,BUS1001_Groupnr_20,active,,,,
Y21MARA,Y21MARA,SOBJ/MO,KIRST,EN,EN,EC3,BUS1001_Groupnr_21,active,,,,
Y22MARA,Y22MARA,SOBJ/MO,KIRST,EN,EN,EC3,BUS1001_Groupnr_22,active,,,,
Y23MARA,Y23MARA,SOBJ/MO,KIRST,EN,EN,EC3,BUS1001_Groupnr_23,active,,,,
Y24MARA,Y24MARA,SOBJ/MO,KIRST,EN,EN,EC3,BUS1001_Groupnr_24,active,,,,
