OBJECT_TYPE,OBJECT_NAME,TECH_NAME,OBJECT_URI,OBJECT_VIT_URI,EXPANDABLE
TABL/DT,/AIN/TPRFELMENT,/AIN/TPRFELMENT,/sap/bc/adt/vit/wb/object_type/tabldt/object_name/%2fAIN%2fTPRFELMENT,/sap/bc/adt/vit/wb/object_type/tabldt/object_name/%2fAIN%2fTPRFELMENT,
TABL/DT,/AIN/TPRFELMENTT,/AIN/TPRFELMENTT,/sap/bc/adt/vit/wb/object_type/tabldt/object_name/%2fAIN%2fTPRFELMENTT,/sap/bc/adt/vit/wb/object_type/tabldt/object_name/%2fAIN%2fTPRFELMENTT,
TABL/DT,/AIN/TPRFETYPUSE,/AIN/TPRFETYPUSE,/sap/bc/adt/vit/wb/object_type/tabldt/object_name/%2fAIN%2fTPRFETYPUSE,/sap/bc/adt/vit/wb/object_type/tabldt/object_name/%2fAIN%2fTPRFETYPUSE,
TABL/DT,/AIN/TPRFPRFESET,/AIN/TPRFPRFESET,/sap/bc/adt/vit/wb/object_type/tabldt/object_name/%2fAIN%2fTPRFPRFESET,/sap/bc/adt/vit/wb/object_type/tabldt/object_name/%2fAIN%2fTPRFPRFESET,
TABL/DT,/AIN/TPRFTYP_USE,/AIN/TPRFTYP_USE,/sap/bc/adt/vit/wb/object_type/tabldt/object_name/%2fAIN%2fTPRFTYP_USE,/sap/bc/adt/vit/wb/object_type/tabldt/object_name/%2fAIN%2fTPRFTYP_USE,
TABL/DT,/AIN/TPRF_PROFIL,/AIN/TPRF_PROFIL,/sap/bc/adt/vit/wb/object_type/tabldt/object_name/%2fAIN%2fTPRF_PROFIL,/sap/bc/adt/vit/wb/object_type/tabldt/object_name/%2fAIN%2fTPRF_PROFIL,
TABL/DT,/AIN/TPRF_PROFT,/AIN/TPRF_PROFT,/sap/bc/adt/vit/wb/object_type/tabldt/object_name/%2fAIN%2fTPRF_PROFT,/sap/bc/adt/vit/wb/object_type/tabldt/object_name/%2fAIN%2fTPRF_PROFT,
VIEW/DV,/AIN/TPRF_ESET_V,/AIN/TPRF_ESET_V,/sap/bc/adt/vit/wb/object_type/viewdv/object_name/%2fAIN%2fTPRF_ESET_V,/sap/bc/adt/vit/wb/object_type/viewdv/object_name/%2fAIN%2fTPRF_ESET_V,
VIEW/DV,/AIN/VPRFATTRCLS,/AIN/VPRFATTRCLS,/sap/bc/adt/vit/wb/object_type/viewdv/object_name/%2fAIN%2fVPRFATTRCLS,/sap/bc/adt/vit/wb/object_type/viewdv/object_name/%2fAIN%2fVPRFATTRCLS,
VIEW/DV,/AIN/VPRFEEMATR,/AIN/VPRFEEMATR,/sap/bc/adt/vit/wb/object_type/viewdv/object_name/%2fAIN%2fVPRFEEMATR,/sap/bc/adt/vit/wb/object_type/viewdv/object_name/%2fAIN%2fVPRFEEMATR,
